,xml,gz,zip
xml_iterparse,65.90644810000012,68.48570808000004,59.33049588000013
xml_parse,35.08799717999991,36.44435916000002,32.86621950000008
lxml_parse,38.49384994000011,37.070072419999995,36.10466109999997
lxml_iterparse,50.78218939999988,48.55986317999996,47.55516978000014
dxml_parse,41.12992049999993,38.88958786000003,38.07022443999995
dxml_iterparse,77.76139779999994,72.27917399999987,70.84762765999986
